"Time","F1","F2","F3",
6.72,0.1,0.3,0.3,
6.73,0.1,0.3,0.3,
6.74,0.1,0.3,0.3,
6.75,0.1,0.3,0.3,
6.76,0.1,0.3,0.3,
6.77,0.1,0.3,0.3,
6.78,0.1,0.3,0.3,
6.79,0.1,0.3,0.3,
6.8,0.1,0.3,0.3,
6.81,0.1,0.3,0.3,
6.82,0.1,0.3,0.3,
6.83,0.1,0.3,0.3,
6.84,0.1,0.3,0.3,
6.85,0.1,0.3,0.3,
6.86,0.1,0.3,0.3,
6.87,0.1,0.3,0.3,
6.88,0.1,0.3,0.3,
6.89,0.1,0.3,0.3,
6.9,0.1,0.3,0.3,
6.91,0.1,0.3,0.3,
6.92,0.1,0.3,0.3,
6.93,0.1,0.3,0.3,
6.94,0.1,0.3,0.3,
6.95,0.1,0.3,0.3,
6.96,0.1,0.3,0.3,
6.97,0.1,0.3,0.3,
6.98,0.1,0.3,0.3,
6.99,0.1,0.3,0.3,
7,0.1,0.3,0.3,
7.01,0.1,0.3,0.3,
7.02,0.1,0.3,0.3,
7.03,0.1,0.3,0.3,
7.04,0.1,0.3,0.3,
7.05,0.1,0.3,0.3,
7.06,0.1,0.3,0.3,
7.07,0.1,0.3,0.3,
7.08,0.1,0.3,0.3,
7.09,0.1,0.3,0.3,
7.1,0.1,0.3,0.3,
7.11,0.1,0.3,0.3,
7.12,0.1,0.3,0.3,
7.13,0.1,0.3,0.3,
7.14,0.1,0.3,0.3,
7.15,0.1,0.3,0.3,
7.16,0.1,0.3,0.3,
7.17,0.1,0.3,0.3,
7.18,0.1,0.3,0.3,
7.19,0.1,0.3,0.3,
7.2,0.1,0.3,0.3,
7.21,0.1,0.3,0.3,
7.22,0.1,0.3,0.3,
7.23,0.1,0.3,0.3,
7.24,0.1,0.3,0.3,
7.25,0.1,0.3,0.3,
7.26,0.1,0.3,0.3,
7.27,0.1,0.3,0.3,
7.28,0.1,0.3,0.3,
7.29,0.1,0.3,0.3,
7.3,0.1,0.3,0.3,
7.31,0.1,0.3,0.3,
7.32,0.1,0.3,0.3,
7.33,0.1,0.3,0.3,
7.34,0.1,0.3,0.3,
7.35,0.1,0.3,0.3,
7.36,0.1,0.3,0.3,
7.37,0.1,0.3,0.3,
7.38,0.1,0.3,0.3,
7.39,0.1,0.3,0.3,
7.4,0.1,0.3,0.3,
7.41,0.1,0.3,0.3,
7.42,0.1,0.3,0.3,
7.43,0.1,0.3,0.3,
7.44,0.1,0.3,0.3,
7.45,0.1,0.3,0.3,
7.46,0.1,0.3,0.3,
7.47,0.1,0.3,0.3,
7.48,0.1,0.3,0.3,
